tag,address,data_type,unit,access,description
PIT_101,HR40001,float,bar,read,ESP intake pressure
PIT_102,HR40003,float,bar,read,ESP discharge pressure
TT_101,HR40005,float,degC,read,Motor temperature
FIT_101,HR40007,float,m3/d,read,Surface liquid flow
AIT_101,HR40009,float,A,read,Motor current
SIC_101,HR40101,float,Hz,read-write,Safety-approved frequency
MODE_101,HR40103,uint16,enum,read-write,Operating mode
TRIP_101,CO00001,bool,state,read,Trip active
FIRSTOUT_101,HR40105,uint16,code,read,First-out trip code

