time_s,mode,reservoir_pressure_bar,blockage_fraction,frequency_hz,flow_m3d,intake_pressure_bar,discharge_pressure_bar,motor_current_a,motor_temperature_c,electrical_power_kw,pump_efficiency,tripped,first_out
0.0,pid,180.0,0.0,50.25,405.7143,81.3116,197.432,66.7963,65.0286,94.8695,0.653139,False,NONE
1.0,pid,180.0,0.0,50.5,411.2653,82.5645,199.4876,68.0217,65.058,96.6099,0.654643,False,NONE
2.0,pid,180.0,0.0,50.75,416.6577,83.7611,201.5023,69.2478,65.0883,98.3514,0.656041,False,NONE
3.0,pid,180.0,0.0,51.0,421.8961,84.9036,203.4785,70.4751,65.1194,100.0945,0.657342,False,NONE
4.0,pid,180.0,0.0,51.25,426.9848,85.994,205.4183,71.7041,65.1513,101.8401,0.658552,False,NONE
5.0,pid,180.0,0.0,51.5,431.9281,87.0344,207.324,72.9353,65.1842,103.5887,0.659676,False,NONE
6.0,pid,180.0,0.0,51.75,436.7301,88.0269,209.1975,74.169,65.2178,105.3409,0.66072,False,NONE
7.0,pid,180.0,0.0,52.0,441.395,88.9732,211.041,75.4057,65.2523,107.0973,0.661688,False,NONE
8.0,pid,180.0,0.0,52.25,445.9265,89.8752,212.8561,76.6457,65.2876,108.8585,0.662586,False,NONE
9.0,pid,180.0,0.0,52.5,450.3286,90.7346,214.6447,77.8894,65.3238,110.6248,0.663418,False,NONE
10.0,pid,180.0,0.0,52.75,454.605,91.5532,216.4085,79.137,65.3608,112.3968,0.664187,False,NONE
11.0,pid,180.0,0.0,53.0,458.7591,92.3326,218.1491,80.3889,65.3987,114.1749,0.664898,False,NONE
12.0,pid,180.0,0.0,53.25,462.7946,93.0744,219.8682,81.6454,65.4375,115.9595,0.665554,False,NONE
13.0,pid,180.0,0.0,53.5,466.7147,93.78,221.567,82.9067,65.477,117.7509,0.666158,False,NONE
14.0,pid,180.0,0.0,53.75,470.5229,94.451,223.2471,84.1732,65.5175,119.5496,0.666713,False,NONE
15.0,pid,180.0,0.0,54.0,474.2222,95.0887,224.9099,85.4449,65.5588,121.3558,0.667222,False,NONE
16.0,pid,180.0,0.0,54.25,477.8159,95.6945,226.5565,86.7222,65.6009,123.1699,0.667687,False,NONE
17.0,pid,180.0,0.0,54.5,481.3068,96.2696,228.1882,88.0052,65.6439,124.9921,0.668112,False,NONE
18.0,pid,180.0,0.0,54.75,484.6981,96.8155,229.8063,89.2941,65.6878,126.8227,0.668497,False,NONE
19.0,pid,180.0,0.0,55.0,487.9924,97.3332,231.4117,90.5891,65.7326,128.6621,0.668845,False,NONE
20.0,pid,180.0,0.0,55.25,491.1926,97.8239,233.0056,91.8904,65.7782,130.5103,0.669158,False,NONE
21.0,pid,180.0,0.0,55.5,494.3014,98.2887,234.589,93.1981,65.8247,132.3676,0.669438,False,NONE
22.0,pid,180.0,0.0,55.75,497.3214,98.7287,236.1628,94.5124,65.872,134.2343,0.669687,False,NONE
23.0,pid,180.0,0.0,56.0,500.255,99.145,237.728,95.8334,65.9203,136.1105,0.669905,False,NONE
24.0,pid,180.0,0.0,56.25,503.1049,99.5386,239.2854,97.1613,65.9694,137.9964,0.670095,False,NONE
25.0,pid,180.0,0.0,56.5,505.8733,99.9104,240.836,98.4961,66.0194,139.8921,0.670258,False,NONE
26.0,pid,180.0,0.0,56.75,508.5627,100.2612,242.3804,99.8379,66.0703,141.7979,0.670395,False,NONE
27.0,pid,180.0,0.0,57.0,511.1752,100.5922,243.9195,101.1869,66.1221,143.7139,0.670507,False,NONE
28.0,pid,180.0,0.0,57.25,513.713,100.904,245.4539,102.5432,66.1748,145.6402,0.670596,False,NONE
29.0,pid,180.0,0.0,57.5,516.1784,101.1975,246.9844,103.9068,66.2284,147.5769,0.670662,False,NONE
30.0,pid,180.0,0.0,57.75,518.5733,101.4734,248.5117,105.2778,66.2828,149.5241,0.670707,False,NONE
31.0,pid,180.0,0.0,58.0,520.8997,101.7327,250.0363,106.6563,66.3382,151.482,0.670731,False,NONE
32.0,pid,180.0,0.0,58.25,523.1597,101.9759,251.5589,108.0424,66.3945,153.4507,0.670735,False,NONE
33.0,pid,180.0,0.0,58.5,525.3552,102.2038,253.0799,109.4362,66.4517,155.4302,0.670721,False,NONE
34.0,pid,180.0,0.0,58.75,527.4879,102.4171,254.6001,110.8376,66.5099,157.4207,0.670688,False,NONE
35.0,pid,180.0,0.0,59.0,529.5597,102.6164,256.1198,112.2468,66.5689,159.4221,0.670638,False,NONE
36.0,pid,180.0,0.0,59.25,531.5722,102.8023,257.6396,113.6639,66.6289,161.4347,0.670571,False,NONE
37.0,pid,180.0,0.0,59.5,533.5273,102.9754,259.1599,115.0888,66.6898,163.4584,0.670488,False,NONE
38.0,pid,180.0,0.0,59.75,535.4265,103.1364,260.6812,116.5215,66.7517,165.4934,0.670389,False,NONE
39.0,pid,180.0,0.0,60.0,537.2715,103.2858,262.2039,117.9623,66.8144,167.5397,0.670275,False,NONE
40.0,pid,180.0,0.0,60.0,539.0637,103.424,262.1051,118.0888,66.8772,167.7193,0.670789,False,NONE
41.0,pid,180.0,0.0,60.0,540.8048,103.5517,262.0017,118.2105,66.9399,167.8923,0.671283,False,NONE
42.0,pid,180.0,0.0,60.0,542.4961,103.6693,261.894,118.3278,67.0025,168.0588,0.671759,False,NONE
43.0,pid,180.0,0.0,60.0,544.139,103.7773,261.7826,118.4407,67.0651,168.2191,0.672218,False,NONE
44.0,pid,180.0,0.0,60.0,545.7351,103.8761,261.6675,118.5494,67.1277,168.3735,0.672659,False,NONE
45.0,pid,180.0,0.0,60.0,547.2855,103.9661,261.5493,118.6541,67.1902,168.5222,0.673085,False,NONE
46.0,pid,180.0,0.0,60.0,548.7916,104.0479,261.4282,118.755,67.2527,168.6655,0.673496,False,NONE
47.0,pid,180.0,0.0,60.0,550.2547,104.1218,261.3044,118.8522,67.315,168.8036,0.673892,False,NONE
48.0,pid,180.0,0.0,60.0,551.676,104.1881,261.1782,118.9459,67.3774,168.9367,0.674273,False,NONE
